   DEPT        IK            RR        DS            RS        SP
   1564.19     177.781       2.017     215.532      10.465     -29.984
   1563.98     175.385       2.017     214.037      10.125     -33.311
   1563.79     171.671       2.017     212.334       9.307     -32.693
   1563.58     166.587       2.017     211.016       8.489     -33.708
   1563.39     160.042       2.017     211.095       7.671     -35.089
   1563.19     154.608       2.017     209.163       6.852     -37.084
   1562.98     150.281       2.017     211.617       8.431     -38.955
   1562.79     144.082       2.018     211.223      15.004     -40.540
   1562.58     137.379       2.018     210.703      21.169     -41.790
   1562.39     123.875       2.018     210.449      25.508     -41.629
   1562.19     112.652       2.018     209.410      34.182     -39.901
   1561.98     103.532       2.018     207.594      46.555     -34.492
   1561.79      91.617       2.018     214.158      59.278     -29.434
   1561.58      67.246       2.018     216.220      74.118     -24.735
   1561.39      52.401       2.019     216.204      87.481     -21.643
   1561.19      44.096       2.019     220.837     100.749     -19.942
   1560.99      37.871       2.019     223.928     115.885     -18.428
   1560.79      32.661       2.019     222.078     129.276     -18.717
   1560.59      29.844       2.019     220.371     138.874     -19.006
   1560.39      27.163       2.019     220.903     148.471     -19.447
   1560.19      26.075       2.019     219.135     137.809     -20.099
   1559.99      25.909       2.019     217.361     118.373     -20.750
   1559.79      26.784       2.020     215.828     100.895     -22.081
   1559.59      28.544       2.020     213.342      79.980     -23.711
   1559.39      31.896       2.020     215.006      58.901     -26.135
   1559.19      39.060       2.020     215.381      48.456     -28.915
   1558.99      47.534       2.020     214.840      39.399     -32.274
   1558.79      55.314       2.020     218.647      30.341     -35.633
   1558.59      64.274       2.020     215.604      21.284     -38.976
   1558.39      77.778       2.020     216.435      15.698     -39.849
   1558.19      95.156       2.021     214.048      13.692     -38.477
   1557.99     115.952       2.021     211.920      13.127     -39.536
   1557.79     123.216       2.021     212.767      12.776     -40.957
   1557.59     127.660       2.021     212.252      12.556     -40.549
   1557.39     132.104       2.021     213.716      13.018     -42.846
   1557.19     131.617       2.021     215.774      13.522     -45.172
   1556.99     130.649       2.021     214.642      14.053     -46.313
   1556.79     129.680       2.021     213.747      14.492     -44.968
   1556.59     128.317       2.022     212.653      14.344     -45.174
   1556.39     126.913       2.022     211.407      13.792     -46.026
   1556.19     126.162       2.022     212.767      14.125     -46.879
   1555.99     127.843       2.022     214.647      14.457     -47.758
   1555.79     129.523       2.022     213.301      14.173     -47.505
   1555.59     131.204       2.022     213.817      13.685     -44.884
   1555.39     133.157       2.022     212.414      13.015     -40.883
   1555.19     136.644       2.022     213.731      12.275     -36.924
   1554.99     141.864       2.023     212.534      11.536     -26.734
   1554.79     147.694       2.023     211.566      10.016     -23.679
   1554.59     152.937       2.023     211.287       9.531     -20.880
   1554.39     157.696       2.023     213.687       9.045     -20.468
   1554.19     162.455       2.023     216.398       8.940     -22.015
   1553.99     164.447       2.023     212.011       8.964     -23.390
   1553.79     165.848       2.023     212.271       9.044     -23.265
   1553.59     165.504       2.024     212.659       9.225     -24.193
   1553.39     164.611       2.024     211.894       9.405     -25.652
   1553.19     163.393       2.024     211.317       9.486     -26.707
   1552.99     161.553       2.024     212.633       9.558     -27.223
   1552.79     159.712       2.024     213.098       9.801     -27.908
   1552.59     157.872       2.024     213.047      10.181     -29.645
   1552.39     156.032       2.024     212.364      10.666     -31.631
   1552.19     154.121       2.024     211.740      11.047     -35.548
   1551.99     150.962       2.025     212.613      11.121     -36.630
   1551.79     147.238       2.025     212.420      11.303     -39.193
   1551.59     142.366       2.025     213.042      11.341     -39.099
   1551.39     137.663       2.025     213.383      10.813     -39.406
   1551.19     134.146       2.025     213.415      10.368     -38.083
   1550.99     133.495       2.025     213.633      10.130     -35.597
   1550.79     135.640       2.025     213.523      10.043     -33.745
   1550.59     138.063       2.025     212.220       9.984     -32.611
   1550.39     142.130       2.026     219.345       9.656     -28.985
   1550.19     143.748       2.026     216.632       9.711     -32.271
   1549.99     145.079       2.026     217.828      10.090     -30.388
   1549.79     145.911       2.026     219.197      10.967     -31.824
   1549.59     141.961       2.026     218.638      11.502     -33.539
   1549.39     137.954       2.026     218.327      12.117     -36.501
   1549.19     132.774       2.026     218.733      12.871     -41.877
   1548.99     128.689       2.026     217.567      13.602     -43.776
   1548.79     124.657       2.027     214.883      12.985     -44.752
   1548.59     120.404       2.027     213.211      12.355     -38.700
   1548.39     116.723       2.027     211.366      11.708     -34.178
   1548.19     119.472       2.027     215.312      11.168     -30.402
   1547.99     122.221       2.027     216.488      10.888     -30.169
   1547.79     127.163       2.027     216.226      11.274     -32.145
   1547.59     130.285       2.027     216.183      11.872     -37.286
   1547.39     132.779       2.027     218.740      12.109     -41.941
   1547.19     132.773       2.028     216.240      12.246     -40.215
   1546.99     132.767       2.028     214.734      11.926     -38.293
   1546.79     132.762       2.028     215.237      11.469     -36.118
   1546.59     134.217       2.028     215.268      10.808     -34.606
   1546.39     136.868       2.028     218.165       9.593     -30.023
   1546.19     141.114       2.028     218.617       8.771     -22.569
   1545.99     149.496       2.028     220.372       7.977     -15.373
   1545.79     159.475       2.029     219.450       7.556     -12.521
   1545.59     169.646       2.029     221.205       7.135      -9.669
   1545.39     180.028       2.029     220.420       6.741      -8.977
   1545.19     190.409       2.029     222.292       6.387      -8.605
   1544.99     199.895       2.029     222.372       5.783      -8.397
   1544.79     207.957       2.029     225.364       5.186      -7.278
   1544.59     216.020       2.029     237.420       4.689      -6.158
   1544.39     224.442       2.029     251.952       4.346      -5.007
   1544.19     235.601       2.030     249.648       4.543      -3.826
   1543.99     246.759       2.030     236.555       4.737      -3.378
   1543.79     256.631       2.030     240.185       4.773      -2.984
   1543.59     259.362       2.030     240.171       4.706      -2.605
   1543.39     262.092       2.030     238.330       4.498      -2.281
   1543.19     264.822       2.030     243.435       4.305      -1.956
   1542.99     267.552       2.030     248.541       4.290      -1.632
   1542.79     270.282       2.030     251.779       4.274      -4.143
   1542.59     272.628       2.031     246.381       4.259      -6.434
   1542.39     274.435       2.031     235.025       4.199      -7.585
   1542.19     276.242       2.031     223.669       4.149      -6.868
   1541.99     278.048       2.031     212.823       4.119      -5.689
   1541.79     279.855       2.031     209.569       4.088      -3.788
   1541.59     281.661       2.031     210.838       4.058      -2.440
   1541.39     283.532       2.031     217.515       4.029      -2.925
   1541.19     285.426       2.031     224.193       4.000      -3.411
   1540.99     287.614       2.032     219.240       3.971      -3.376
   1540.79     290.104       2.032     220.148       3.869      -3.299
   1540.59     292.593       2.032     221.210       3.735      -3.560
   1540.39     295.082       2.032     216.759       3.601      -3.821
   1540.19     297.572       2.032     221.526       3.469      -3.848
   1539.99     302.661       2.032     215.715       3.338      -3.702
   1539.79     310.904       2.032     221.083       3.216      -3.045
   1539.59     319.147       2.032     222.392       3.094      -2.280
   1539.39     327.390       2.033     222.010       3.003      -1.515
   1539.19     333.116       2.033     217.249       2.971       -.863
   1538.99     338.192       2.033     230.393       2.940       -.267
   1538.79     343.267       2.033     233.185       2.908       -.128
   1538.59     348.343       2.033     221.827       2.894       -.226
   1538.39     348.265       2.033     219.036       2.927       -.324
   1538.19     348.114       2.033     223.064       2.960       -.917
   1537.99     347.963       2.033     220.036       2.992      -1.577
   1537.79     347.811       2.034     229.559       3.025      -2.236
   1537.59     347.660       2.034     228.088       2.998      -2.659
   1537.39     348.981       2.034     226.478       2.971      -2.989
   1537.19     351.338       2.034     221.571       2.944      -2.217
   1536.99     353.696       2.034     222.579       2.916      -1.241
   1536.79     355.634       2.034     222.463       2.927      -1.015
   1536.59     356.058       2.034     227.033       2.941      -1.846
   1536.39     356.483       2.035     218.989       2.954      -2.444
   1536.19     356.907       2.035     215.546       2.967      -3.092
   1535.99     357.332       2.035     217.316       2.980      -5.223
   1535.79     356.315       2.035     218.375       2.981      -8.732
   1535.59     352.028       2.035     212.031       2.982      -7.906
   1535.39     353.187       2.035     214.894       2.982      -6.863
   1535.19     355.178       2.035     217.978       2.981      -3.193
   1534.99     357.170       2.035     211.156       2.953      -4.322
   1534.79     359.161       2.036     211.133       2.924      -6.130
   1534.59     361.152       2.036     224.645       2.896      -7.626
   1534.39     363.143       2.036     222.943       2.868      -6.690
   1534.19     361.871       2.036     224.235       2.961      -5.409
   1533.99     359.635       2.036     232.797       3.061      -6.983
   1533.79     357.398       2.036     227.932       3.160      -7.684
   1533.59     354.234       2.036     217.683       3.176      -6.440
   1533.39     350.597       2.036     218.070       3.176      -3.405
   1533.19     346.960       2.037     217.341       3.177      -1.547
   1532.99     344.003       2.037     229.686       3.175       -.557
   1532.79     344.412       2.037     224.025       3.141      -1.111
   1532.59     344.821       2.037     217.909       3.106      -1.754
   1532.39     345.208       2.037     225.778       3.071      -2.771
   1532.19     341.564       2.037     229.722       3.074      -3.455
   1531.99     337.919       2.037     220.382       3.151      -3.918
   1531.79     334.274       2.037     217.955       3.228      -2.677
   1531.59     330.629       2.038     211.669       3.305      -2.414
   1531.39     329.202       2.038     219.041       3.382      -2.356
   1531.19     328.659       2.038     215.558       3.327      -1.848
   1530.99     328.116       2.038     211.144       3.259      -2.078
   1530.79     327.573       2.038     222.751       3.191      -2.645
   1530.59     327.030       2.038     232.699       3.128      -3.214
   1530.39     326.905       2.038     224.872       3.131      -3.793
   1530.19     326.897       2.038     217.791       3.133      -4.075
   1529.99     326.890       2.039     219.309       3.135      -4.058
   1529.79     326.663       2.039     220.727       3.154      -4.100
   1529.59     322.377       2.039     227.939       3.194      -4.246
   1529.39     318.091       2.039     225.754       3.235      -4.393
   1529.19     314.788       2.039     225.564       3.275      -4.540
   1528.99     316.155       2.039     228.326       3.316      -4.458
