Depth     DS        PS        IK        BK        PZ
2447.40   24.5370   90.2737   178.0814  4.8266    6.9171
2447.60   24.5370   92.0058   180.8136  4.8284    6.3297
2447.80   24.4747   93.1080   184.2229  4.7941    6.1853
2448.00   24.4339   93.4351   188.3092  4.5541    5.5171
2448.20   24.5136   93.4956   192.8308  4.4846    5.1548
2448.40   24.5681   93.3261   198.6097  4.3115    5.6590
2448.60   24.6012   93.3987   203.0587  3.8113    5.2405
2448.80   24.5603   92.9869   206.4196  3.6931    5.4485
2449.00   24.4689   92.2602   208.7167  3.6137    5.8035
2449.20   24.1751   92.1148   207.0725  3.5719    5.9063
2449.40   23.9455   92.5024   201.5838  3.5585    5.6590
2449.60   23.5700   92.1391   194.7652  3.8965    5.7618
2449.80   23.4805   91.7151   187.2937  4.5695    6.5989
2450.00   23.8268   91.9695   182.3853  5.2356    7.3822
2450.20   24.0953   92.4903   179.0727  5.9229    7.6049
2450.40   24.2879   92.1027   177.6461  5.7782    7.1154
2450.60   24.3132   91.1216   179.4354  4.8647    7.7836
2450.80   24.2471   89.2442   181.1521  4.0408    6.4668
2451.00   24.2860   86.9065   177.7187  3.8790    6.8315
2451.20   24.2529   81.1773   170.3923  3.9881    7.3259
2451.40   24.0953   67.8416   163.7913  4.9810    7.8571
2451.60   23.7023   58.6725   156.8518  8.9796    9.2008
2451.80   23.2296   51.2112   150.2750  11.2531   12.5835
2452.00   23.0759   44.3920   147.5911  11.7576   14.6787
2452.20   23.1732   43.6773   146.2854  10.6857   16.9012
2452.40   23.2938   44.0044   140.3131  9.9510    18.8863
2452.60   23.6323   44.0165   134.5826  10.6417   19.5447
2452.80   24.0389   44.0286   129.8676  20.9044   22.9470
2453.00   24.4280   46.7660   125.5395  21.5489   24.5258
2453.20   24.4416   51.6473   125.1285  16.2003   22.8736
2453.40   23.7393   54.5179   131.8745  11.6829   15.6725
2453.60   23.3405   53.7306   139.2734  10.2655   13.4867
2453.80   23.4514   51.2476   148.0747  9.1255    13.2958
2454.00   23.5973   52.8828   155.1109  6.7965    14.4976
2454.20   23.5798   44.3556   160.9382  6.7155    14.6004
2454.40   23.4572   27.4830   166.9588  8.1243    16.5243
2454.60   23.3152   23.7161   172.6652  9.9996    17.4055
2454.80   23.2685   20.4700   176.9207  10.4011   16.8327
2455.00   23.3327   19.2708   178.7584  9.9847    16.9991
2455.20   23.3541   20.3488   176.9933  10.5741   18.1569
2455.40   23.3230   23.1710   172.2299  10.2694   15.1316
2455.60   23.4319   36.7611   169.0141  11.6000   12.4440
2455.80   23.8658   59.3750   166.8863  9.1632    11.8027
2456.00   24.2665   64.6076   167.2732  6.4321    11.7391
2456.20   24.4047   66.4729   166.9347  6.2632    12.3485
2456.40   23.5914   59.3144   165.5806  6.1584    14.1917
2456.60   23.2977   43.4351   163.5737  7.8991    16.0445
2456.80   23.2685   35.0654   161.3250  12.9565   20.5360
2457.00   23.2821   23.4738   160.5755  15.7630   23.0449
2457.20   23.0992   19.5252   159.8501  16.4143   24.8072
2457.40   23.0156   17.4297   158.1092  16.4205   25.2478
2457.60   23.2451   16.1579   156.4166  15.5750   25.0520
2457.80   23.2802   15.4070   155.5220  15.5284   24.7216
2458.00   23.2626   15.0799   156.0297  15.4819   24.2688
2458.20   23.2743   14.8619   156.2957  14.3905   24.2565
2458.40   23.2743   14.6439   153.5876  14.6573   25.0398
2458.60   23.2743   14.6318   151.0246  14.9570   25.6272
2458.80   23.2490   15.4554   148.4858  14.6793   25.4069
2459.00   23.1381   16.6182   147.0108  14.8175   25.0275
2459.20   23.1401   17.3813   146.4063  15.7099   25.3947
2459.40   23.1498   17.5145   144.4236  16.3529   25.2234
2459.60   23.1284   19.4525   141.8364  13.5273   24.2565
2459.80   23.1829   23.8372   141.2803  10.1014   22.2861
2460.00   23.2646   28.0765   138.5964  8.9326    19.4346
2460.20   23.3385   33.5271   131.7778  10.9698   18.7492
2460.40   23.3599   35.7679   126.1923  13.1523   20.5972
2460.60   23.3988   33.3818   117.9472  13.9863   26.0556
2460.80   23.5272   33.5029   108.9041  15.6570   41.1210
2461.00   23.7665   35.7558   99.8610   35.1607   57.1778
2461.20   24.3346   38.7597   90.7453   66.3284   66.1853
2461.40   24.5272   42.8658   85.2324   140.2284  85.0691
2461.60   24.4728   46.4268   83.5157   176.7223  86.9539
2461.80   24.5019   50.9205   87.9647   44.9975   75.7802
2462.00   24.2977   53.5974   96.5967   28.5346   63.7009
2462.20   23.8093   54.8934   105.0837  20.0824   39.0283
2462.40   23.2374   54.9297   112.4101  12.5690   18.9989
2462.60   23.4903   58.1274   120.7036  7.4086    17.4128
2462.80   23.3930   61.2766   127.1837  7.5233    14.8795
2463.00   23.1751   58.8178   133.1802  9.6606    13.7217
2463.20   23.0817   51.9501   139.0316  12.2664   14.2161
2463.40   22.7996   51.1628   145.4875  9.4175    14.6910
2463.60   21.9008   50.5814   147.7362  9.2912    14.8232
2463.80   22.5253   51.8047   149.8882  11.8683   13.5944
2464.00   23.1518   59.6778   154.3372  11.2657   11.6730
2464.20   23.5720   68.3866   159.0038  8.8592    10.1016
2464.40   23.6537   72.5775   164.6134  6.7940    8.9218
2464.60   23.8949   74.9273   168.7239  5.9720    7.8522
2464.80   24.2607   79.9540   172.6168  5.3267    7.0762
2465.00   24.5175   84.9806   175.6634  5.0336    6.8633
2465.20   24.5934   85.6105   178.3715  5.1926    6.6210
2465.40   24.6420   86.3009   180.4751  5.6475    6.6920
2465.60   24.6226   89.2684   182.2886  4.5661    6.4398
2465.80   24.6304   91.0489   183.7152  4.3981    6.2856
2466.00   24.7082   91.8726   184.7307  4.4063    6.4668
2466.20   24.7918   91.9089   185.2868  4.3931    6.1363
2466.40   24.8132   92.6235   185.3594  4.2874    6.0580
2466.60   24.8307   93.4109   186.0122  4.0712    5.8230
2466.80   24.9397   94.0649   185.9880  3.8921    6.0286
2467.00   25.0272   94.1134   185.7221  3.8921    6.4056
2467.20   25.1109   92.9748   184.5614  3.8674    6.4154
2467.40   25.1615   90.2616   181.0312  3.8055    6.5451
2467.60   24.9027   81.8798   175.6392  3.8327    7.5535
2467.80   24.2588   76.6594   170.2231  4.7122    13.8735
2468.00   24.1226   52.9797   164.3233  11.7974   16.4362
2468.20   24.1479   47.6744   160.5997  13.4666   18.7859
2468.40   24.1362   42.3450   159.5599  14.3743   20.7808
2468.60   24.0564   35.3440   159.9468  14.0862   21.9557
2468.80   24.0019   31.8193   161.3492  14.6408   22.2984
2469.00   23.9767   29.3726   162.2197  13.5070   22.2372
