   DEPT        IK            KS        KV            RS        SP
   1478.50     239.831       2.655     220.493       4.090      -4.349
   1478.00     248.616       2.655     229.520       4.091      -2.977
   1477.50     252.342       2.655     232.129       4.058      -2.746
   1477.00     246.208       2.655     228.044       4.047      -3.166
   1476.50     240.601       2.655     221.750       4.106      -3.274
   1476.00     238.065       2.655     223.327       4.167      -3.198
   1475.50     239.891       2.655     225.168       4.239      -2.020
   1475.00     241.717       2.655     223.821       4.310       -.842
   1474.50     255.858       2.655     221.891       4.324       -.803
   1474.00     275.893       2.655     227.389       4.254       -.804
   1473.50     304.711       2.655     224.994       4.044       -.804
   1473.00     309.798       2.655     227.154       3.834       -.808
   1472.50     308.758       2.655     226.228       3.663      -1.310
   1472.00     304.538       2.655     225.689       3.541      -1.812
   1471.50     300.223       2.655     223.324       3.608      -2.314
   1471.00     295.416       2.655     226.331       3.702      -2.679
   1470.50     290.610       2.655     226.109       3.745      -2.841
   1470.00     273.912       2.655     222.881       3.772      -3.002
   1469.50     256.606       2.655     220.231       3.982      -3.163
   1469.00     269.609       2.655     215.275       4.033      -3.324
   1468.50     269.609       2.655     216.036       3.956      -3.324
   1468.00     269.609       2.655     219.475       3.956      -3.324
   1467.50     269.609       2.655     217.502       3.956      -3.324
   1467.00     269.609       2.655     218.291       3.956      -3.324
   1466.50     269.609       2.655     215.307       3.956      -3.324
   1466.00     269.609       2.655     215.307       3.956      -3.324
   1465.50     269.609       2.655     215.307       3.956      -3.324
