Depth     GZ4       GZ3       GZ2       GZ1       IK        DS        BK        GZK3      PS        PZ        NKT       GK
2442.60   3.4700    5.5226    6.9487    5.2544    193.1502  23.2230   4.1309    6.2679    86.9746   6.0614    2.9167    6.3929
2442.80   3.4602    5.9042    6.4366    4.9005    197.1418  22.9052   3.9150    6.4070    87.0479   5.9426    2.8228    5.9834
2443.00   3.3988    6.2046    5.8503    4.5884    201.7740  21.5283   4.1141    6.7953    87.4389   5.8041    2.7905    6.2455
2443.20   3.2859    6.3770    5.2839    4.3745    203.1785  21.3352   3.9852    6.9930    87.6955   5.7100    2.8547    6.2123
2443.40   3.2441    6.3646    4.8485    4.2369    198.7680  22.1368   3.9078    6.8661    87.9154   5.9104    2.9914    6.6808
2443.60   3.2785    6.2317    4.4354    4.1583    194.5546  22.7218   3.9955    7.0565    87.8421   6.2197    3.0284    6.6081
2443.80   3.4258    5.9929    4.1929    4.2517    190.5137  22.2772   4.0387    7.4741    87.5733   6.4770    3.1532    6.8121
2444.00   3.5928    5.6999    4.1806    4.7260    186.7192  22.0315   4.5514    7.3739    86.8402   6.6526    3.2102    6.5564
2444.20   3.7426    5.5152    4.0915    4.6326    183.5161  22.0373   4.9156    7.3178    86.0948   6.5908    2.9903    6.5573
2444.40   3.8924    5.3970    3.9951    5.1192    181.1753  22.2265   4.9156    7.1395    85.7771   6.7862    2.8513    6.8209
2444.60   3.9440    5.4906    4.0841    5.9867    178.6621  22.4118   4.8578    7.1469    85.5938   7.0807    2.8515    6.4061
2444.80   3.9931    5.7836    4.4552    5.0086    176.0256  22.4176   4.6227    7.4960    85.9848   7.0312    2.7314    6.5110
2445.00   4.0987    6.1455    4.7347    5.2126    173.5863  22.0607   4.6917    7.8476    86.6325   6.7986    2.7629    6.6945
2445.20   4.3271    6.3991    5.0835    4.9521    173.0442  22.0627   4.9779    8.1455    87.1457   6.4275    3.0157    6.7613
